sku,status,diff_sapo_minus_pancake,sapo_available,pancake_available,sapo_remain,pancake_remain,sapo_name,pancake_name,sapo_variant_count,pancake_variant_count
#FM-BAFM02-NB,missing_in_sapo,,,97,,97,,Túi tote tennis pickleball thể thao Fitme dáng rộng đựng vợt Túi tote tennis pickleball thể thao Fitme dáng rộng đựng vợt đựng đồ đi tập chất liệu cao cấp BAFM02#FM-BAFM02-NB,0,1
#FM-BNLL01,mismatch,18,50,32,0,32,[QUÀ TẶNG KHÔNG BÁN] Ly nhựa 2 lớp LocknLock kèm ống hút#FM-BNLL01,[QUÀ TẶNG KHÔNG BÁN] Ly nhựa 2 lớp LocknLock kèm ống hút#FM-BNLL01,1,1
#FM-DTNN01-DO-L,missing_in_sapo,,,80,,80,,Váy tennis thể thao nữ Fitme GOC pickleball tặng kèm quần bảo hộ chất liệu thun co giãn thoáng khí DTNN01#FM-DTNN01-DO-L,0,1
#FM-DTNN01-DO-M,missing_in_sapo,,,80,,80,,Váy tennis thể thao nữ Fitme GOC pickleball tặng kèm quần bảo hộ chất liệu thun co giãn thoáng khí DTNN01#FM-DTNN01-DO-M,0,1
#FM-DTNN01-DO-S,missing_in_sapo,,,58,,58,,Váy tennis thể thao nữ Fitme GOC pickleball tặng kèm quần bảo hộ chất liệu thun co giãn thoáng khí DTNN01#FM-DTNN01-DO-S,0,1
#FM-DTNN01-DO-XL,missing_in_sapo,,,58,,58,,Váy tennis thể thao nữ Fitme GOC pickleball tặng kèm quần bảo hộ chất liệu thun co giãn thoáng khí DTNN01#FM-DTNN01-DO-XL,0,1
#FM-VSFM01-SM-L,missing_in_sapo,,,81,,81,,"Chân váy ngắn thể thao nữ Fitme GOC may 2 lớp kèm quần bảo hộ chơi pickleball, tennis, cầu lông VSFM01#FM-VSFM01-SM-L",0,1
#FM-VSFM01-SM-M,missing_in_sapo,,,82,,82,,"Chân váy ngắn thể thao nữ Fitme GOC may 2 lớp kèm quần bảo hộ chơi pickleball, tennis, cầu lông VSFM01#FM-VSFM01-SM-M",0,1
#FM-VSFM01-SM-S,missing_in_sapo,,,48,,48,,"Chân váy ngắn thể thao nữ Fitme GOC may 2 lớp kèm quần bảo hộ chơi pickleball, tennis, cầu lông VSFM01#FM-VSFM01-SM-S",0,1
#FM-VSFM01-SM-XL,missing_in_sapo,,,52,,52,,"Chân váy ngắn thể thao nữ Fitme GOC may 2 lớp kèm quần bảo hộ chơi pickleball, tennis, cầu lông VSFM01#FM-VSFM01-SM-XL",0,1
1,missing_in_sapo,,,,,,,"Áo ba lỗ tập gym yoga nữ Fitme sát nách ôm body có mút lót, chất cotton co giãn mềm mại ABLN01#FM-ABLN01-TR-XL",0,35
2,missing_in_sapo,,,,,,,"Bộ đồ Pickleball, cầu lông, tennis nữ Fitme CÉ áo khoác Fierce năng động, chân váy xấp ly túi hộp Blazer navy kèm quần bảo hộ",0,317
2OGFB,matched,0,0,0,0,0,Combo 2 ống giấy Fitme Break,Combo 2 ống giấy Fitme Break,1,1
3342BLAZERNAVYL,missing_in_sapo,,,,,,,Áo bra tập gym yoga nữ Fitme Flow thể thao dây chéo có mút chống sốc nâng ngực Racer Back - BRRB,0,1
3342BLAZERNAVYM,missing_in_sapo,,,,,,,Áo bra tập gym yoga nữ Fitme Flow thể thao dây chéo có mút chống sốc nâng ngực Racer Back - BRRB,0,1
3342BLAZERNAVYS,missing_in_sapo,,,,,,,Áo bra tập gym yoga nữ Fitme Flow thể thao dây chéo có mút chống sốc nâng ngực Racer Back - BRRB,0,1
3342BLAZERNAVYXL,missing_in_sapo,,,,,,,Áo bra tập gym yoga nữ Fitme Flow thể thao dây chéo có mút chống sốc nâng ngực Racer Back - BRRB,0,1
3500NAVYSOCNAVYXL,missing_in_sapo,,,,,,,Váy tennis pickleball nữ Fitme FORCE EA cổ V chất liệu co giãn thoáng khí tặng kèm quần bảo hộ DSSP02  #FM-DSSP02-NN-XL,0,1
3501NAVYSOCNAVYS,missing_in_sapo,,,,,,,Váy tennis pickleball nữ Fitme FORCE EA cổ V chất liệu co giãn thoáng khí tặng kèm quần bảo hộ DSSP02  #FM-DSSP02-NN-S,0,1
3502NAVYSOCNAVYM,missing_in_sapo,,,,,,,Váy tennis pickleball nữ Fitme FORCE EA cổ V chất liệu co giãn thoáng khí tặng kèm quần bảo hộ DSSP02  #FM-DSSP02-NN-M,0,1
3503NAVYSOCNAVYL,missing_in_sapo,,,,,,,Váy tennis pickleball nữ Fitme FORCE EA cổ V chất liệu co giãn thoáng khí tặng kèm quần bảo hộ DSSP02  #FM-DSSP02-NN-L,0,1
3504TRANGSOCNAVYXL,missing_in_sapo,,,,,,,Váy tennis pickleball nữ Fitme FORCE EA cổ V chất liệu co giãn thoáng khí tặng kèm quần bảo hộ DSSP02  #FM-DSSP02-TN-XL,0,1
3505TRANGSOCNAVYS,missing_in_sapo,,,,,,,Váy tennis pickleball nữ Fitme FORCE EA cổ V chất liệu co giãn thoáng khí tặng kèm quần bảo hộ DSSP02  #FM-DSSP02-TN-S,0,1
