platform,issue_type,sku,sapo_available,platform_available
pancake,extra_on_platform,#FM-BAFM02-NB,,97
pancake,extra_on_platform,#FM-DTNN01-DO-L,,80
pancake,extra_on_platform,#FM-DTNN01-DO-M,,80
pancake,extra_on_platform,#FM-DTNN01-DO-S,,58
pancake,extra_on_platform,#FM-DTNN01-DO-XL,,58
pancake,extra_on_platform,#FM-VSFM01-SM-L,,81
pancake,extra_on_platform,#FM-VSFM01-SM-M,,82
pancake,extra_on_platform,#FM-VSFM01-SM-S,,48
pancake,extra_on_platform,#FM-VSFM01-SM-XL,,52
pancake,extra_on_platform,10720-2,,0
pancake,extra_on_platform,10721-2,,0
pancake,extra_on_platform,10722-2,,0
pancake,extra_on_platform,10723-2,,0
pancake,extra_on_platform,10724-2,,0
pancake,extra_on_platform,10725-2,,0
pancake,extra_on_platform,10726-2,,0
pancake,extra_on_platform,10727-2,,0
pancake,extra_on_platform,10863-2,,0
pancake,extra_on_platform,10864-2,,0
pancake,extra_on_platform,10865-2,,0
pancake,extra_on_platform,10866-2,,0
pancake,extra_on_platform,10867-2,,0
pancake,extra_on_platform,10868-2,,0
pancake,extra_on_platform,10869-2,,0
pancake,extra_on_platform,10870-2,,0
pancake,extra_on_platform,10871-2,,0
pancake,extra_on_platform,10872-2,,0
pancake,extra_on_platform,10873-2,,0
pancake,extra_on_platform,10874-2,,0
pancake,extra_on_platform,10875-2,,0
pancake,extra_on_platform,10876-2,,0
pancake,extra_on_platform,10877-2,,0
pancake,extra_on_platform,10878-2,,0
pancake,extra_on_platform,10933-1,,0
pancake,extra_on_platform,10934-1,,0
pancake,extra_on_platform,10935-1,,0
pancake,extra_on_platform,10936-1,,0
pancake,extra_on_platform,10937-1,,0
pancake,extra_on_platform,10938-1,,0
pancake,extra_on_platform,10939-1,,0
pancake,extra_on_platform,10940-1,,0
pancake,extra_on_platform,10941-1,,0
pancake,extra_on_platform,10942-1,,0
pancake,extra_on_platform,10943-1,,0
pancake,extra_on_platform,10944-1,,0
pancake,extra_on_platform,10945-1,,0
pancake,extra_on_platform,10946-1,,0
pancake,extra_on_platform,10947-1,,0
pancake,extra_on_platform,10948-1,,0
pancake,extra_on_platform,10949-1,,0
pancake,extra_on_platform,10950-1,,0
pancake,extra_on_platform,10951-1,,0
pancake,extra_on_platform,10952-1,,0
pancake,extra_on_platform,10953-1,,0
pancake,extra_on_platform,10954-1,,0
pancake,extra_on_platform,10955-1,,0
pancake,extra_on_platform,10956-1,,0
pancake,extra_on_platform,10957-1,,0
pancake,extra_on_platform,10958-1,,0
pancake,extra_on_platform,10959-1,,0
pancake,extra_on_platform,10960-1,,0
pancake,extra_on_platform,10961-1,,0
pancake,extra_on_platform,10962-1,,0
pancake,extra_on_platform,10963-1,,0
pancake,extra_on_platform,10964-1,,0
pancake,extra_on_platform,10965-1,,0
pancake,extra_on_platform,10966-1,,0
pancake,extra_on_platform,10967-1,,0
pancake,extra_on_platform,3342-10,,0
pancake,extra_on_platform,3342-11,,0
pancake,extra_on_platform,3342-12,,0
pancake,extra_on_platform,3342-9,,0
pancake,extra_on_platform,3641-2,,0
pancake,extra_on_platform,3642-2,,0
pancake,extra_on_platform,3643-2,,0
pancake,extra_on_platform,3644-2,,0
pancake,extra_on_platform,3645-2,,0
pancake,extra_on_platform,3646-2,,0
pancake,extra_on_platform,3647-2,,0
pancake,extra_on_platform,3648-2,,0
pancake,extra_on_platform,3649-2,,0
pancake,extra_on_platform,3650-2,,0
pancake,extra_on_platform,3651-2,,0
pancake,extra_on_platform,3652-2,,0
pancake,extra_on_platform,3653-2,,0
pancake,extra_on_platform,3654-2,,0
pancake,extra_on_platform,3655-2,,0
pancake,extra_on_platform,4569-2,,0
pancake,extra_on_platform,4661-2,,0
pancake,extra_on_platform,4662-2,,0
pancake,extra_on_platform,4663-2,,0
pancake,extra_on_platform,4664-2,,0
pancake,extra_on_platform,4665-2,,0
pancake,extra_on_platform,4666-2,,0
pancake,extra_on_platform,4667-2,,0
pancake,extra_on_platform,4668-2,,0
pancake,extra_on_platform,4669-2,,0
pancake,extra_on_platform,4670-2,,0
pancake,extra_on_platform,4671-2,,0
pancake,extra_on_platform,4672-2,,0
pancake,extra_on_platform,4673-2,,0
pancake,extra_on_platform,4674-2,,0
pancake,extra_on_platform,4675-2,,0
pancake,extra_on_platform,4676-2,,0
pancake,extra_on_platform,4677-2,,0
pancake,extra_on_platform,4678-2,,0
pancake,extra_on_platform,4679-2,,0
pancake,extra_on_platform,4680-2,,0
pancake,extra_on_platform,519-3,,0
pancake,extra_on_platform,521-3,,0
pancake,extra_on_platform,522-3,,0
pancake,extra_on_platform,5895-2,,0
pancake,extra_on_platform,5896-2,,0
pancake,extra_on_platform,5897-2,,0
pancake,extra_on_platform,5898-2,,0
pancake,extra_on_platform,5899-2,,0
pancake,extra_on_platform,5900-2,,0
pancake,extra_on_platform,5901-2,,0
pancake,extra_on_platform,5902-2,,0
pancake,extra_on_platform,5903-2,,0
pancake,extra_on_platform,5904-2,,0
pancake,extra_on_platform,5905-2,,0
pancake,extra_on_platform,5906-2,,0
pancake,extra_on_platform,5907-2,,0
pancake,extra_on_platform,5908-2,,0
pancake,extra_on_platform,5909-2,,0
pancake,extra_on_platform,5910-2,,0
pancake,extra_on_platform,5911-2,,0
pancake,extra_on_platform,5912-2,,0
pancake,extra_on_platform,5913-2,,0
pancake,extra_on_platform,5914-2,,0
pancake,extra_on_platform,5915-2,,0
pancake,extra_on_platform,5916-2,,0
pancake,extra_on_platform,5917-2,,0
pancake,extra_on_platform,5918-2,,0
pancake,extra_on_platform,5919-2,,0
pancake,extra_on_platform,6019-2,,0
pancake,extra_on_platform,6020-2,,0
pancake,extra_on_platform,6021-2,,0
pancake,extra_on_platform,6022-2,,0
pancake,extra_on_platform,6023-2,,0
pancake,extra_on_platform,6024-2,,0
pancake,extra_on_platform,6025-2,,0
pancake,extra_on_platform,6026-2,,0
pancake,extra_on_platform,6027-2,,0
pancake,extra_on_platform,6028-2,,0
pancake,extra_on_platform,6029-2,,0
pancake,extra_on_platform,6030-2,,0
pancake,extra_on_platform,6031-2,,0
pancake,extra_on_platform,6032-2,,0
pancake,extra_on_platform,6033-2,,0
pancake,extra_on_platform,6034-2,,0
pancake,extra_on_platform,6035-2,,0
pancake,extra_on_platform,6036-2,,0
pancake,extra_on_platform,6037-2,,0
pancake,extra_on_platform,6038-2,,0
pancake,extra_on_platform,6039-2,,0
pancake,extra_on_platform,6040-2,,0
pancake,extra_on_platform,6041-2,,0
pancake,extra_on_platform,6042-2,,0
pancake,extra_on_platform,6166-2,,0
pancake,extra_on_platform,6167-2,,0
pancake,extra_on_platform,6168-2,,0
pancake,extra_on_platform,6169-2,,0
pancake,extra_on_platform,6170-2,,0
pancake,extra_on_platform,6171-2,,0
pancake,extra_on_platform,6172-2,,0
pancake,extra_on_platform,6173-2,,0
pancake,extra_on_platform,6174-2,,0
pancake,extra_on_platform,6175-2,,0
pancake,extra_on_platform,6176-2,,0
