sku,status,reason,action,sapoAvailable,pancakeAvailable,shopifyAvailable,sapoName,pancakeName,shopifyName,isBlocklisted,comboComponents
FM-AKGL01-TR-L-FM-QDOL01-HP-L,partial,Missing Pancake and Shopify records,blocked_by_product_sync_blocklist,32,,,Bộ đồ tập yoga pilates nữ Fitme Glow áo khoác trắng phối quần ống loe hồng pastel thoáng khí tôn dáng,,,yes,FM-AKGL01-TR-L|FM-QDOL01-HP-L
FM-AKGL01-TR-L-FM-QDOL01-HP-M,partial,Missing Pancake and Shopify records,blocked_by_product_sync_blocklist,1,,,Bộ đồ tập yoga pilates nữ Fitme Glow áo khoác trắng phối quần ống loe hồng pastel thoáng khí tôn dáng,,,yes,FM-AKGL01-TR-L|FM-QDOL01-HP-M
FM-AKGL01-TR-L-FM-QDOL01-HP-S,partial,Missing Pancake and Shopify records,blocked_by_product_sync_blocklist,1,,,Bộ đồ tập yoga pilates nữ Fitme Glow áo khoác trắng phối quần ống loe hồng pastel thoáng khí tôn dáng,,,yes,FM-AKGL01-TR-L|FM-QDOL01-HP-S
FM-AKGL01-TR-L-FM-QDOL01-HP-XL,partial,Missing Pancake and Shopify records,blocked_by_product_sync_blocklist,9,,,Bộ đồ tập yoga pilates nữ Fitme Glow áo khoác trắng phối quần ống loe hồng pastel thoáng khí tôn dáng,,,yes,FM-AKGL01-TR-L|FM-QDOL01-HP-XL
FM-AKGL01-TR-M-FM-QDOL01-HP-L,partial,Missing Pancake and Shopify records,blocked_by_product_sync_blocklist,32,,,Bộ đồ tập yoga pilates nữ Fitme Glow áo khoác trắng phối quần ống loe hồng pastel thoáng khí tôn dáng,,,yes,FM-AKGL01-TR-M|FM-QDOL01-HP-L
FM-AKGL01-TR-M-FM-QDOL01-HP-M,partial,Missing Pancake and Shopify records,blocked_by_product_sync_blocklist,1,,,Bộ đồ tập yoga pilates nữ Fitme Glow áo khoác trắng phối quần ống loe hồng pastel thoáng khí tôn dáng,,,yes,FM-AKGL01-TR-M|FM-QDOL01-HP-M
FM-AKGL01-TR-M-FM-QDOL01-HP-S,partial,Missing Pancake and Shopify records,blocked_by_product_sync_blocklist,1,,,Bộ đồ tập yoga pilates nữ Fitme Glow áo khoác trắng phối quần ống loe hồng pastel thoáng khí tôn dáng,,,yes,FM-AKGL01-TR-M|FM-QDOL01-HP-S
FM-AKGL01-TR-M-FM-QDOL01-HP-XL,partial,Missing Pancake and Shopify records,blocked_by_product_sync_blocklist,9,,,Bộ đồ tập yoga pilates nữ Fitme Glow áo khoác trắng phối quần ống loe hồng pastel thoáng khí tôn dáng,,,yes,FM-AKGL01-TR-M|FM-QDOL01-HP-XL
FM-AKGL01-TR-S-FM-QDOL01-HP-L,partial,Missing Pancake and Shopify records,blocked_by_product_sync_blocklist,34,,,Bộ đồ tập yoga pilates nữ Fitme Glow áo khoác trắng phối quần ống loe hồng pastel thoáng khí tôn dáng,,,yes,FM-AKGL01-TR-S|FM-QDOL01-HP-L
FM-AKGL01-TR-S-FM-QDOL01-HP-M,partial,Missing Pancake and Shopify records,blocked_by_product_sync_blocklist,3,,,Bộ đồ tập yoga pilates nữ Fitme Glow áo khoác trắng phối quần ống loe hồng pastel thoáng khí tôn dáng,,,yes,FM-AKGL01-TR-S|FM-QDOL01-HP-M
FM-AKGL01-TR-S-FM-QDOL01-HP-S,partial,Missing Pancake and Shopify records,blocked_by_product_sync_blocklist,3,,,Bộ đồ tập yoga pilates nữ Fitme Glow áo khoác trắng phối quần ống loe hồng pastel thoáng khí tôn dáng,,,yes,FM-AKGL01-TR-S|FM-QDOL01-HP-S
FM-AKGL01-TR-S-FM-QDOL01-HP-XL,partial,Missing Pancake and Shopify records,blocked_by_product_sync_blocklist,11,,,Bộ đồ tập yoga pilates nữ Fitme Glow áo khoác trắng phối quần ống loe hồng pastel thoáng khí tôn dáng,,,yes,FM-AKGL01-TR-S|FM-QDOL01-HP-XL
FM-AKGL01-TR-XL-FM-QDOL01-HP-L,partial,Missing Pancake and Shopify records,blocked_by_product_sync_blocklist,34,,,Bộ đồ tập yoga pilates nữ Fitme Glow áo khoác trắng phối quần ống loe hồng pastel thoáng khí tôn dáng,,,yes,FM-AKGL01-TR-XL|FM-QDOL01-HP-L
FM-AKGL01-TR-XL-FM-QDOL01-HP-M,partial,Missing Pancake and Shopify records,blocked_by_product_sync_blocklist,3,,,Bộ đồ tập yoga pilates nữ Fitme Glow áo khoác trắng phối quần ống loe hồng pastel thoáng khí tôn dáng,,,yes,FM-AKGL01-TR-XL|FM-QDOL01-HP-M
FM-AKGL01-TR-XL-FM-QDOL01-HP-S,partial,Missing Pancake and Shopify records,blocked_by_product_sync_blocklist,3,,,Bộ đồ tập yoga pilates nữ Fitme Glow áo khoác trắng phối quần ống loe hồng pastel thoáng khí tôn dáng,,,yes,FM-AKGL01-TR-XL|FM-QDOL01-HP-S
FM-AKGL01-TR-XL-FM-QDOL01-HP-XL,partial,Missing Pancake and Shopify records,blocked_by_product_sync_blocklist,11,,,Bộ đồ tập yoga pilates nữ Fitme Glow áo khoác trắng phối quần ống loe hồng pastel thoáng khí tôn dáng,,,yes,FM-AKGL01-TR-XL|FM-QDOL01-HP-XL
FM-AKSL01-TR-L-FM-QDSL02-HP-L,partial,Missing Pancake and Shopify records,blocked_by_product_sync_blocklist,113,,,Bộ đồ tập yoga pilates nữ Fitme SL áo khoác Serene xanh pastel phối quần hồng pastel tôn dáng mềm mại,,,yes,FM-AKSL01-TR-L|FM-QDSL02-HP-L
FM-AKSL01-TR-L-FM-QDSL02-HP-M,partial,Missing Pancake and Shopify records,blocked_by_product_sync_blocklist,116,,,Bộ đồ tập yoga pilates nữ Fitme SL áo khoác Serene xanh pastel phối quần hồng pastel tôn dáng mềm mại,,,yes,FM-AKSL01-TR-L|FM-QDSL02-HP-M
FM-AKSL01-TR-L-FM-QDSL02-HP-S,partial,Missing Pancake and Shopify records,blocked_by_product_sync_blocklist,116,,,Bộ đồ tập yoga pilates nữ Fitme SL áo khoác Serene xanh pastel phối quần hồng pastel tôn dáng mềm mại,,,yes,FM-AKSL01-TR-L|FM-QDSL02-HP-S
FM-AKSL01-TR-L-FM-QDSL02-HP-XL,partial,Missing Pancake and Shopify records,blocked_by_product_sync_blocklist,58,,,Bộ đồ tập yoga pilates nữ Fitme SL áo khoác Serene xanh pastel phối quần hồng pastel tôn dáng mềm mại,,,yes,FM-AKSL01-TR-L|FM-QDSL02-HP-XL
FM-AKSL01-TR-M-FM-QDSL02-HP-L,partial,Missing Pancake and Shopify records,blocked_by_product_sync_blocklist,113,,,Bộ đồ tập yoga pilates nữ Fitme SL áo khoác Serene xanh pastel phối quần hồng pastel tôn dáng mềm mại,,,yes,FM-AKSL01-TR-M|FM-QDSL02-HP-L
FM-AKSL01-TR-M-FM-QDSL02-HP-M,partial,Missing Pancake and Shopify records,blocked_by_product_sync_blocklist,138,,,Bộ đồ tập yoga pilates nữ Fitme SL áo khoác Serene xanh pastel phối quần hồng pastel tôn dáng mềm mại,,,yes,FM-AKSL01-TR-M|FM-QDSL02-HP-M
FM-AKSL01-TR-M-FM-QDSL02-HP-S,partial,Missing Pancake and Shopify records,blocked_by_product_sync_blocklist,138,,,Bộ đồ tập yoga pilates nữ Fitme SL áo khoác Serene xanh pastel phối quần hồng pastel tôn dáng mềm mại,,,yes,FM-AKSL01-TR-M|FM-QDSL02-HP-S
FM-AKSL01-TR-M-FM-QDSL02-HP-XL,partial,Missing Pancake and Shopify records,blocked_by_product_sync_blocklist,57,,,Bộ đồ tập yoga pilates nữ Fitme SL áo khoác Serene xanh pastel phối quần hồng pastel tôn dáng mềm mại,,,yes,FM-AKSL01-TR-M|FM-QDSL02-HP-XL
FM-AKSL01-TR-S-FM-QDSL02-HP-L,partial,Missing Pancake and Shopify records,blocked_by_product_sync_blocklist,113,,,Bộ đồ tập yoga pilates nữ Fitme SL áo khoác Serene xanh pastel phối quần hồng pastel tôn dáng mềm mại,,,yes,FM-AKSL01-TR-S|FM-QDSL02-HP-L
FM-AKSL01-TR-S-FM-QDSL02-HP-M,partial,Missing Pancake and Shopify records,blocked_by_product_sync_blocklist,133,,,Bộ đồ tập yoga pilates nữ Fitme SL áo khoác Serene xanh pastel phối quần hồng pastel tôn dáng mềm mại,,,yes,FM-AKSL01-TR-S|FM-QDSL02-HP-M
FM-AKSL01-TR-S-FM-QDSL02-HP-S,partial,Missing Pancake and Shopify records,blocked_by_product_sync_blocklist,133,,,Bộ đồ tập yoga pilates nữ Fitme SL áo khoác Serene xanh pastel phối quần hồng pastel tôn dáng mềm mại,,,yes,FM-AKSL01-TR-S|FM-QDSL02-HP-S
FM-AKSL01-TR-S-FM-QDSL02-HP-XL,partial,Missing Pancake and Shopify records,blocked_by_product_sync_blocklist,58,,,Bộ đồ tập yoga pilates nữ Fitme SL áo khoác Serene xanh pastel phối quần hồng pastel tôn dáng mềm mại,,,yes,FM-AKSL01-TR-S|FM-QDSL02-HP-XL
FM-AKSL01-TR-XL-FM-QDSL02-HP-L,partial,Missing Pancake and Shopify records,blocked_by_product_sync_blocklist,92,,,Bộ đồ tập yoga pilates nữ Fitme SL áo khoác Serene xanh pastel phối quần hồng pastel tôn dáng mềm mại,,,yes,FM-AKSL01-TR-XL|FM-QDSL02-HP-L
FM-AKSL01-TR-XL-FM-QDSL02-HP-M,partial,Missing Pancake and Shopify records,blocked_by_product_sync_blocklist,94,,,Bộ đồ tập yoga pilates nữ Fitme SL áo khoác Serene xanh pastel phối quần hồng pastel tôn dáng mềm mại,,,yes,FM-AKSL01-TR-XL|FM-QDSL02-HP-M
FM-AKSL01-TR-XL-FM-QDSL02-HP-S,partial,Missing Pancake and Shopify records,blocked_by_product_sync_blocklist,94,,,Bộ đồ tập yoga pilates nữ Fitme SL áo khoác Serene xanh pastel phối quần hồng pastel tôn dáng mềm mại,,,yes,FM-AKSL01-TR-XL|FM-QDSL02-HP-S
FM-AKSL01-TR-XL-FM-QDSL02-HP-XL,partial,Missing Pancake and Shopify records,blocked_by_product_sync_blocklist,58,,,Bộ đồ tập yoga pilates nữ Fitme SL áo khoác Serene xanh pastel phối quần hồng pastel tôn dáng mềm mại,,,yes,FM-AKSL01-TR-XL|FM-QDSL02-HP-XL
