sku,status,reason,action,sapoAvailable,pancakeAvailable,shopifyAvailable,sapoName,pancakeName,shopifyName
#FM-BAFM02-NB,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,97,,,Túi tote tennis pickleball thể thao Fitme dáng rộng đựng vợt Túi tote tennis pickleball thể thao Fitme dáng rộng đựng vợt đựng đồ đi tập chất liệu cao cấp BAFM02#FM-BAFM02-NB,
#FM-DTNN01-DO-L,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,80,,,Váy tennis thể thao nữ Fitme GOC pickleball tặng kèm quần bảo hộ chất liệu thun co giãn thoáng khí DTNN01#FM-DTNN01-DO-L,
#FM-DTNN01-DO-M,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,80,,,Váy tennis thể thao nữ Fitme GOC pickleball tặng kèm quần bảo hộ chất liệu thun co giãn thoáng khí DTNN01#FM-DTNN01-DO-M,
#FM-DTNN01-DO-S,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,58,,,Váy tennis thể thao nữ Fitme GOC pickleball tặng kèm quần bảo hộ chất liệu thun co giãn thoáng khí DTNN01#FM-DTNN01-DO-S,
#FM-DTNN01-DO-XL,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,58,,,Váy tennis thể thao nữ Fitme GOC pickleball tặng kèm quần bảo hộ chất liệu thun co giãn thoáng khí DTNN01#FM-DTNN01-DO-XL,
#FM-VSFM01-SM-L,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,81,,,"Chân váy ngắn thể thao nữ Fitme GOC may 2 lớp kèm quần bảo hộ chơi pickleball, tennis, cầu lông VSFM01#FM-VSFM01-SM-L",
#FM-VSFM01-SM-M,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,82,,,"Chân váy ngắn thể thao nữ Fitme GOC may 2 lớp kèm quần bảo hộ chơi pickleball, tennis, cầu lông VSFM01#FM-VSFM01-SM-M",
#FM-VSFM01-SM-S,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,48,,,"Chân váy ngắn thể thao nữ Fitme GOC may 2 lớp kèm quần bảo hộ chơi pickleball, tennis, cầu lông VSFM01#FM-VSFM01-SM-S",
#FM-VSFM01-SM-XL,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,52,,,"Chân váy ngắn thể thao nữ Fitme GOC may 2 lớp kèm quần bảo hộ chơi pickleball, tennis, cầu lông VSFM01#FM-VSFM01-SM-XL",
10720-2,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,Váy tennis pickleball nữ Fitme FORCE EA cổ V chất liệu co giãn thoáng khí tặng kèm quần bảo hộ DSSP02#VV-DSSP02-BN-L,
10721-2,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,Váy tennis pickleball nữ Fitme FORCE EA cổ V chất liệu co giãn thoáng khí tặng kèm quần bảo hộ DSSP02#VV-DSSP02-BN-M,
10722-2,partial,Missing Sapo source record,orphan_platform_sku_not_in_sapo,,0,,,Váy tennis pickleball nữ Fitme FORCE EA cổ V chất liệu co giãn thoáng khí tặng kèm quần bảo hộ DSSP02#VV-DSSP02-BN-S,
