sku,type,sapo_available,shopify_available,diff,sapo_remain,shopify_remain
FM-BDSL01-XP,normal,74,1,73,0,1
FM-BDSL01-VP,normal,87,1,86,0,1
FM-BDSL01-HP,normal,74,1,73,0,1
FM-QNSL01-XG-XL,normal,44,1,43,0,1
FM-QNSL01-XG-L,normal,58,1,57,0,1
FM-QNSL01-XG-M,normal,92,1,91,0,1
FM-QNSL01-XG-S,normal,91,1,90,0,1
FM-QNSL01-XP-XL,normal,31,1,30,0,1
FM-QNSL01-XP-L,normal,61,1,60,0,1
FM-QNSL01-XP-M,normal,75,1,74,0,1
FM-QNSL01-XP-S,normal,80,1,79,0,1
FM-QNSL01-VG-XL,normal,37,1,36,0,1
FM-QNSL01-VG-L,normal,64,1,63,0,1
FM-QNSL01-VG-M,normal,89,1,88,0,1
FM-QNSL01-VG-S,normal,92,1,91,0,1
FM-QNSL01-VP-XL,normal,36,1,35,0,1
FM-QNSL01-VP-L,normal,65,1,64,0,1
FM-QNSL01-VP-M,normal,87,1,86,0,1
FM-QNSL01-VP-S,normal,87,1,86,0,1
FM-VOSL01-XP,normal,284,0,284,0,0
FM-VOSL01-VP,normal,282,0,282,0,0
FM-VOSL01-HP,normal,281,0,281,0,0
FM-SCSL01-XP,normal,486,1,485,0,1
FM-SCSL01-VP,normal,483,1,482,0,1
FM-SCSL01-HP,normal,488,1,487,0,1
FM-BDSL02-XP,normal,25,0,25,0,0
FM-BDSL02-VP,normal,317,0,317,0,0
FM-BDSL02-HP,normal,192,0,192,0,0
FM-BASL01-XP,normal,293,0,293,0,0
FM-BASL01-HP,normal,297,0,297,0,0
FM-QNSL01-HG-XL,normal,37,1,36,0,1
FM-QNSL01-HG-L,normal,75,1,74,0,1
FM-QNSL01-HG-M,normal,96,1,95,0,1
FM-QNSL01-HG-S,normal,98,1,97,0,1
FM-QNSL01-HP-XL,normal,40,1,39,0,1
FM-QNSL01-HP-L,normal,72,1,71,0,1
FM-QNSL01-HP-M,normal,113,1,112,0,1
FM-QNSL01-HP-S,normal,103,1,102,0,1
FM-ACSL01-XP-L,normal,53,0,53,0,0
FM-ACSL01-XP-M,normal,78,0,78,0,0
FM-ACSL01-XP-S,normal,86,0,86,0,0
FM-ACSL01-VP-L,normal,53,0,53,0,0
FM-ACSL01-VP-M,normal,68,0,68,0,0
FM-ACSL01-VP-S,normal,88,0,88,0,0
FM-ACSL01-HP-L,normal,78,0,78,0,0
FM-ACSL01-HP-M,normal,95,0,95,0,0
FM-ACSL01-HP-S,normal,112,0,112,0,0
FM-BRSL02-VP-L,normal,48,1,47,0,1
FM-BRSL02-VP-M,normal,82,1,81,0,1
FM-BRSL02-VP-S,normal,85,1,84,0,1
