sku,type,sapo_available,sapo_remain
FM-QLLK01-P3D-XL,normal,100,0
FM-QLLK01-P3C-XL,normal,100,0
FM-QLLK01-P3B-XL,normal,100,0
FM-QLLK01-P3A-XL,normal,100,0
FM-QLLK01-P3D-L,normal,0,0
FM-QLLK01-P3C-L,normal,0,0
FM-QLLK01-P3B-L,normal,0,0
FM-QLLK01-P3A-L,normal,0,0
FM-QLLK01-P3D-M,normal,180,0
FM-QLLK01-P3C-M,normal,180,0
FM-QLLK01-P3B-M,normal,180,0
FM-QLLK01-P3A-M,normal,180,0
FM-QLLK01-P3D-S,normal,0,0
FM-QLLK01-P3C-S,normal,0,0
FM-QLLK01-P3B-S,normal,0,0
FM-QLLK01-P3A-S,normal,0,0
FM-AKSL01-VP-XL-FM-QDSL02-VP-XL,combo,45,0
FM-AKSL01-VP-XL-FM-QDSL02-VP-L,combo,74,0
FM-AKSL01-VP-XL-FM-QDSL02-VP-M,combo,79,0
FM-AKSL01-VP-XL-FM-QDSL02-VP-S,combo,80,0
FM-AKSL01-VP-L-FM-QDSL02-VP-XL,combo,45,0
FM-AKSL01-VP-L-FM-QDSL02-VP-L,combo,74,0
FM-AKSL01-VP-L-FM-QDSL02-VP-M,combo,96,0
FM-AKSL01-VP-L-FM-QDSL02-VP-S,combo,97,0
FM-AKSL01-VP-M-FM-QDSL02-VP-XL,combo,45,0
FM-AKSL01-VP-M-FM-QDSL02-VP-L,combo,74,0
FM-AKSL01-VP-M-FM-QDSL02-VP-M,combo,120,0
FM-AKSL01-VP-M-FM-QDSL02-VP-S,combo,121,0
FM-AKSL01-VP-S-FM-QDSL02-VP-XL,combo,45,0
FM-AKSL01-VP-S-FM-QDSL02-VP-L,combo,74,0
FM-AKSL01-VP-S-FM-QDSL02-VP-M,combo,113,0
FM-AKSL01-VP-S-FM-QDSL02-VP-S,combo,114,0
FM-ATSL01-XP-XL-FM-QDSL02-XP-XL,combo,15,0
FM-ATSL01-XP-XL-FM-QDSL02-XP-L,combo,13,0
FM-ATSL01-XP-XL-FM-QDSL02-XP-M,combo,15,0
FM-ATSL01-XP-XL-FM-QDSL02-XP-S,combo,13,0
FM-ATSL01-XP-L-FM-QDSL02-XP-XL,combo,45,0
FM-ATSL01-XP-L-FM-QDSL02-XP-L,combo,46,0
FM-ATSL01-XP-L-FM-QDSL02-XP-M,combo,46,0
FM-ATSL01-XP-L-FM-QDSL02-XP-S,combo,46,0
FM-ATSL01-XP-M-FM-QDSL02-XP-XL,combo,47,0
FM-ATSL01-XP-M-FM-QDSL02-XP-L,combo,75,0
FM-ATSL01-XP-M-FM-QDSL02-XP-M,combo,93,0
FM-ATSL01-XP-M-FM-QDSL02-XP-S,combo,91,0
FM-ATSL01-XP-S-FM-QDSL02-XP-XL,combo,46,0
FM-ATSL01-XP-S-FM-QDSL02-XP-L,combo,75,0
FM-ATSL01-XP-S-FM-QDSL02-XP-M,combo,99,0
FM-ATSL01-XP-S-FM-QDSL02-XP-S,combo,98,0
FM-ATBL01-TR-XL-FM-QSBL01-TR-XL,combo,5,0
FM-ATBL01-TR-XL-FM-QSBL01-TR-L,combo,5,0
FM-ATBL01-TR-XL-FM-QSBL01-TR-M,combo,5,0
FM-ATBL01-TR-XL-FM-QSBL01-TR-S,combo,5,0
FM-ATBL01-TR-L-FM-QSBL01-TR-XL,combo,4,0
FM-ATBL01-TR-L-FM-QSBL01-TR-L,combo,4,0
FM-ATBL01-TR-L-FM-QSBL01-TR-M,combo,4,0
FM-ATBL01-TR-L-FM-QSBL01-TR-S,combo,4,0
FM-ATBL01-TR-M-FM-QSBL01-TR-XL,combo,1,0
FM-ATBL01-TR-M-FM-QSBL01-TR-L,combo,1,0
FM-ATBL01-TR-M-FM-QSBL01-TR-M,combo,1,0
FM-ATBL01-TR-M-FM-QSBL01-TR-S,combo,1,0
FM-ATBL01-TR-S-FM-QSBL01-TR-XL,combo,1,0
FM-ATBL01-TR-S-FM-QSBL01-TR-L,combo,1,0
FM-ATBL01-TR-S-FM-QSBL01-TR-M,combo,1,0
FM-ATBL01-TR-S-FM-QSBL01-TR-S,combo,1,0
FM-ATXL01-HP-XL-FM-QDZT01-DE-XL,combo,334,0
FM-ATXL01-HP-XL-FM-QDZT01-DE-L,combo,385,0
FM-ATXL01-HP-XL-FM-QDZT01-DE-M,combo,385,0
FM-ATXL01-HP-XL-FM-QDZT01-DE-S,combo,385,0
FM-ATXL01-HP-L-FM-QDZT01-DE-XL,combo,244,0
FM-ATXL01-HP-L-FM-QDZT01-DE-L,combo,244,0
FM-ATXL01-HP-L-FM-QDZT01-DE-M,combo,244,0
FM-ATXL01-HP-L-FM-QDZT01-DE-S,combo,244,0
FM-ATXL01-HP-M-FM-QDZT01-DE-XL,combo,156,0
FM-ATXL01-HP-M-FM-QDZT01-DE-L,combo,156,0
FM-ATXL01-HP-M-FM-QDZT01-DE-M,combo,156,0
FM-ATXL01-HP-M-FM-QDZT01-DE-S,combo,156,0
FM-ATXL01-HP-S-FM-QDZT01-DE-XL,combo,209,0
FM-ATXL01-HP-S-FM-QDZT01-DE-L,combo,209,0
FM-ATXL01-HP-S-FM-QDZT01-DE-M,combo,209,0
FM-ATXL01-HP-S-FM-QDZT01-DE-S,combo,209,0
FM-BRGL03-ES-XL-FM-QLTG01-ES-XL,combo,0,0
FM-BRGL03-ES-XL-FM-QLTG01-ES-L,combo,4,0
FM-BRGL03-ES-XL-FM-QLTG01-ES-M,combo,4,0
