sku,type,shopify_available
FM-APGR01 -DO-S,normal,1
FM-APGR01 -DO-M,normal,1
FM-APGR01 -DO-L,normal,1
FM-APGR01 -DO-XL,normal,1
FM-APGR01 -BN-S,normal,1
FM-APGR01 -BN-M,normal,1
FM-APGR01 -BN-L,normal,1
FM-APGR01 -BN-XL,normal,1
FM-VTNN02-NB-S,normal,1
FM-VTNN02-NB-M,normal,1
FM-VTNN02-NB-L,normal,1
FM-VTNN02-NB-XL,normal,1
FM-VTNN02-RB-S,normal,1
FM-VTNN02-RB-M,normal,1
FM-VTNN02-RB-L,normal,1
FM-VTNN02-RB-XL,normal,1
FM-AHZD01-XN-S,normal,1
FM-AHZD01-XN-M,normal,0
FM-AHZD01-XN-L,normal,1
FM-AHZD01-XN-XL,normal,1
FM-ATXL01-TR-2XL,normal,0
FM-ATXL01-XR-2XL,normal,0
FM-ATXL01-XN-2XL,normal,0
FM-ATXL01-DE-2XL,normal,0
FM-BCTR01-BN-B,normal,1
